id,Title,Content,SKU,"Product Type",parent_id,Color,"Custom Color",Size,Color,Custom-color-code,Size,Sizes,"Regular Price","Product Categories","Product Type"
301,"Klass Kote Epoxy Gray Primer Kit with Reducer","Each kit includes:

- 1x can of Side-A Epoxy Gray Primer #50
- 1x can of Side-B Primer Catalyst #415
- 1x can of Epoxy Reducer #500

&nbsp;",KK050K500,variable,0,,,,,,,,,"All Products>Epoxy Reducers|All Products>Side-A Epoxy|All Products>Side-B Catalyst|All Products>Stock Color Epoxy kits",variable
344,"Klass Kote Epoxy White Primer Kit with Reducer","<div class=""product-byline panel""><span class=""text"">Tough, Tested &amp; Decorative Epoxy Paint</span></div>
<span class=""product-description product-gap text"">Each Klass Kote Epoxy White Primer Kit contains everything you need to apply our outstanding, sand-able, score-filling, rust-inhibiting epoxy primer to your substrate.

*When to use #420 Fast Catalyst - Use this catalyst in situations where fast dry times for your prime coat are required.  This is the <strong>ONLY</strong> Klass Kote epoxy catalyst component we sell that <strong><u>does not require</u></strong> an induction (waiting) period after mixing - before applying.
With Primer Catalyst White Fast #420, you mix it thoroughly with the side-A component, reduce it with Epoxy Reducer #500, then immediately strain it into your spray equipment or brush it on right away - no waiting.  With other Klass Kote Epoxy catalysts - you need to let the mixture sit (induct) for a minimum of 30 minutes before reducing it and applying. <a href=""https://www.storesonlinepro.com/files/3863370/uploaded/KlassKotePrimerDataSheet-2014.pdf"" target=""_blank""> Read Primer Data sheet</a> for other difference between Reg and Fast Catalyst. Sizes...
</span>
<table border=""1"" width=""870"" cellspacing=""0"" cellpadding=""0"" align=""center"">
<tbody>
<tr>
<td>1 Pint Kit</td>
<td>1 Quart Kit</td>
<td>½ Gallon Kit</td>
<td>1 Gallon Kit</td>
<td>2 Gallon Kit</td>
</tr>
<tr>
<td>Covers
30-35 sq. ft. with
1x coat**</td>
<td>Covers
60-70 sq. ft. with
1x coat**</td>
<td>Covers
150-150 sq. ft with
1x coat**</td>
<td>Covers
275-300 sq. ft. with
1x coat**</td>
<td>Covers
550-600 sq. ft. with
1x coat**</td>
</tr>
<tr>
<td></td>
<td></td>
<td></td>
<td></td>
<td></td>
</tr>
<tr>
<td colspan=""5"">** Note - You should always plan on applying at least 2x coats for maximum protection and to get even coverage

** Note - Your application method will be the main factor in determining your actual coverage. ROLLING = least coverage area, BRUSHING = medium coverage area, SPRAYING = maximum coverage area

** Note - Any un-mixed, un-used Klass Kote Epoxy Paint can be stored in an uncontrolled temperature area and will remain usable for years into the future. (SHELF LIFE)</td>
</tr>
</tbody>
</table>
&nbsp;",KKGP055415KIT016,variable,0,,,,,,,,,"All Products>Epoxy Reducers|All Products>Side-A Epoxy|All Products>Side-B Catalyst|All Products>Stock Color Epoxy kits",variable
450,"Gloss Catalyst #405 - Side B","<div class=""headingcontainer""></div>
Specifications

1/2 Pint  --  8 fluid Ounces - 236.6 ML

1 Pint   --  16 fluid Ounces - 473.2 ML

1 Quart   --  32 fluid Ounces - 946.4 ML

1 Gallon  -- 128 fluid Ounces - 3785.6 ML

Larger quantities available  --  Call for current pricing...",KKB405008,variable,0,,,,,,,,,"All Products>Side-B Catalyst",variable
451,"Variation #451 of Light Blue",,KKA308008,variable,450,,,,,,,"1/2 pint",15.95,,
453,"Variation #453 of Light Blue",,,variable,450,,,,,,,"1 pint",26.95,,
454,"Variation #454 of Light Blue",,,variable,450,,,,,,,"1 quart",39.95,,
455,"Variation #455 of Light Blue",,,variable,450,,,,,,,"1/2 gallon",74.95,,
456,"Variation #456 of Light Blue",,,variable,450,,,,,,,"1 gallon",134.95,,
457,"Variation #457 of Light Blue",,,variable,450,,,,,,,"5 gallons",495.95,,
461,"Variation #461 of Klass Kote Epoxy Gray Primer Kit with Reducer",,,variable,301,,,,,,,"5 gallons",525.95,,
462,"Variation #462 of Klass Kote Epoxy Gray Primer Kit with Reducer",,,variable,301,,,,,,,"1 gallon",139.95,,
463,"Variation #463 of Klass Kote Epoxy Gray Primer Kit with Reducer",,,variable,301,,,,,,,"1/2 gallon",75.95,,
464,"Variation #464 of Klass Kote Epoxy Gray Primer Kit with Reducer",,,variable,301,,,,,,,"1 quart",40.95,,
465,"Variation #465 of Klass Kote Epoxy Gray Primer Kit with Reducer",,,variable,301,,,,,,,"1 pint",27.95,,
466,"Variation #466 of Klass Kote Epoxy Gray Primer Kit with Reducer",,,variable,301,,,,,,,"1/2 pint",16.50,,
470,"Product #344 Variation",,,variable,344,,,,,,,,,,
471,"Variation #471 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"2 Gallon Kit with Reducer - White - Fast ($329.85)",329.85,,
472,"Variation #472 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"2 Gallon Kit with Reducer - White - Regular ($329.85)",329.85,,
473,"Variation #473 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"1 Gallon Kit with Reducer - White - Fast ($193.80)",193.80,,
474,"Variation #474 of Klass Kote Epoxy White Primer Kit with Reducer",,,variable,344,,,,,,,"1 Gallon Kit with Reducer - White - Regular ($193.80)",193.80,,
